"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4556","HomePage - Product filter should work","chromium","2026-08-29","passed","2026-08-29","","HomePage.spec.js","",""
"","1603","Logout should work successfully","chromium","2026-08-25","passed","2026-08-25","","Logout.spec.js","",""
"","3403","TC 1 - Login and Logout","chromium","2026-09-01","passed","2026-09-01","","Logout.spec.js","",""
"","1915","get started link","chromium","2026-09-01","passed","2026-09-01","","tests\example.spec.js","",""
"","2279","has title","chromium","2026-09-01","passed","2026-09-01","","example.spec.js","",""
"","1071","Login Invalid Test Case","chromium","2026-08-25","passed","2026-08-25","","Login.spec.js","",""
"","2622","TC 1 - Login and Logout","chromium","2026-09-01","passed","2026-09-01","","tests\Logout.spec.js","",""
"","3116","Login Test Case with valid user","chromium","2026-09-01","passed","2026-09-01","Login","Login.spec.js","",""
"","2109","Login Test Case with valid user","chromium","2026-09-01","passed","2026-09-01","Login","tests\Login.spec.js","",""
"","2113","TC 1 - Verify Home Page","chromium","2026-09-01","passed","2026-09-01","","tests\HomePage.spec.js","",""
"","1067","Login Test Case using with Valid User","chromium","2026-08-25","passed","2026-08-25","","Login.spec.js","",""
"","3082","TC 1 - Login and Add Product to Cart","chromium","2026-09-01","passed","2026-09-01","","AddToCart.spec.js","",""
"","1816","test","chromium","2026-08-29","passed","2026-08-29","","AddToCart.spec.js","",""
"","3006","TC 1 - Login and Checkout Product","chromium","2026-09-01","passed","2026-09-01","","Checkout.spec.js","",""
"","2952","End To End Execution TestCase","chromium","2026-09-01","passed","2026-09-01","","EndToEndExecution.spec.js","",""
"","2560","TC 1 - Verify Home Page","chromium","2026-09-01","passed","2026-09-01","","HomePage.spec.js","",""
"","3475","get started link","chromium","2026-09-01","passed","2026-09-01","","example.spec.js","",""
"","3894","TC 1 - Login and Add Product to Cart","chromium","2026-09-01","passed","2026-09-01","","tests\AddToCart.spec.js","",""
"","2586","TC 1 - Login and Checkout Product","chromium","2026-09-01","passed","2026-09-01","","tests\Checkout.spec.js","",""
"","2225","has title","chromium","2026-09-01","passed","2026-09-01","","tests\example.spec.js","",""
"","2985","End To End Execution TestCase","chromium","2026-09-01","passed","2026-09-01","","tests\EndToEndExecution.spec.js","",""
"","5820","Smoke Test - Complete Purchase Flow","chromium","2026-09-01","passed","2026-09-01","Smoke Suite","SmokeTest\SmokeTest.spec.js","",""
"","2298","test","chromium","2026-08-29","passed","2026-08-29","","Checkout.spec.js","",""
"","1054","Login Invalid Test Case","chromium","2026-08-25","passed","2026-08-25","","Login.spec.js","",""
